It Takes Two,"It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요.",2021년 3월 25일,"₩ 44,000","[협동,어드벤처,퍼즐,분할 화면,퍼즐 플랫폼 게임]"
It Takes Two,"It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요.",2021년 3월 25일,"₩ 44,000","[협동,어드벤처,퍼즐,분할 화면,퍼즐 플랫폼 게임]"
PLAYERUNKNOWN'S BATTLEGROUNDS,"PLAYERUNKNOWN’S BATTLEGROUNDS는 배틀로얄 게임으로, 외딴 섬에서 총 100명의 플레이어가 다양한 무기와 전략을 이용하여 마지막 1명이 살아남는 순간까지 전투를 하게 됩니다.",2017년 12월 21일,"₩ 32,000","[생존,슈팅,멀티플레이어,배틀 로얄,1인칭 슈팅]"
Tom Clancy's Rainbow Six® Siege,"Tom Clancy's Rainbow Six Siege는 명성이 자자한 FPS 시리즈의 최신작으로, Ubisoft Montreal 스튜디오에서 개발하였습니다.",2015년 12월 1일,"₩ 22,000","[1인칭 슈팅,히어로 슈터,멀티플레이어,작전,슈팅]"
Apex 레전드™,"Apex 레전드는 Respawn Entertainment에서 제작한 어워드 수상작 무료 배틀 로얄 팀 슈팅 게임입니다. 게임에 계속해서 추가되는 전설적인 캐릭터들의 강력한 능력을 마스터하고 깊이 있는 전술적 분대 플레이, 새롭게 진화하는 게임플레이를 지닌 배틀 로얄의 혁신을 경험하십시오.",2020년 11월 4일,무료,"[무료,배틀 로얄,멀티플레이어,슈팅,1인칭]"
Monster Hunter: World,"새로운 생명의 땅. 사냥하라, 본능에 따라! 시리즈 최신작 'Monster Hunter: World'에서는 새롭게 제작된 다양한 지형과 생태계가 살아 숨쉬는 세계에서 궁극의 사냥 생활을 체험할 수 있습니다.",2018년 8월 9일,"₩ 58,100","[협동,멀티플레이어,액션,오픈 월드,롤플레잉]"
Counter-Strike: Global Offensive,"Counter-Strike: Global Offensive (CS: GO)는 12년 전 이 게임의 원작이 발매와 동시에 창조해낸 팀-기반 액션 게임플레이의 수준을 한층 더 끌어올렸습니다. CS: GO는 새 맵과 캐릭터, 그리고 새로운 무기체계를 도입했고 기존의 클래식 CS 콘텐츠(de_dust2 등)의 개선된 버전을 함께 제공합니다.",2012년 8월 21일,"₩ 17,200","[1인칭 슈팅,슈팅,멀티플레이어,경쟁,액션]"
Warframe,"워프레임은 서서히 전개되는 공상 과학 세계관을 무대로 하는 부분 유료화 온라인 액션 게임입니다. 당신의 친구들과 함께 전 태양계에 걸친 PVE 미션에 참여하고, 워프레임의 파워에 통달해 보세요. 당신의 세계를 위협하는 적들에 맞서 홀로, 혹은 동료들과 함께 싸우실 수 있습니다.",2013년 3월 25일,무료,"[무료,약탈 슈팅,액션,협동,멀티플레이어]"
The Binding of Isaac: Rebirth,"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.",2014년 11월 4일,"₩ 15,500","[액션 로그라이크,로그라이크,인디,리플레이 가치,어려움]"
Grand Theft Auto V,"PC용 Grand Theft Auto V는 각종 수상에 빛나는 로스 산토스와 블레인 카운티의 거대한 세상을 최대 4K 이상의 해상도로 둘러볼 수 있는 기회를 플레이어에게 제공하며, 초당 60프레임으로 게임을 실행할 수도 있습니다.",2015년 4월 14일,가격확인 불가,"[오픈 월드,액션,멀티플레이어,자동차 시뮬레이션,범죄]"
DEATH STRANDING,"전설적인 게임 제작자 Hideo Kojima가 장르를 넘나드는 완전히 새로운 경험을 선사합니다. 샘 브리지스는 '데스 스트랜딩' 현상으로 완전히 바뀌어버린 세상과 맞서야 합니다. 그는 단절된 미래의 파편들을 손에 쥐고, 부서져 버린 세계를 한 걸음씩 다시 연결하기 위한 여정을 시작합니다.",2020년 7월 14일,"₩ 64,800","[걷는 시뮬레이션,오픈 월드,풍부한 스토리,웅장한 사운드트랙,분위기 있는]"
용과 같이7 빛과 어둠의 행방　International,새로운 주인공 카스가 이치반이 「요코하마 이세자키 이진쵸」에서 동료들과 함께 악당들을 물리치는 뜨거운 드라마를 체험할 수 있습니다.,2020년 11월 10일,"₩ 59,800","[롤플레잉,어드벤처,액션,일본 롤플레잉,턴제 전투]"
Valheim,북구 신화와 바이킹 문화에 기반한 판타지 세계를 배경으로 펼쳐지는 생존 및 탐험 게임.,2021년 2월 2일,"₩ 20,500","[오픈 월드 생존 제작,온라인 협동,생존,오픈 월드,크래프팅]"
TEKKEN 7,"미시마 일가의 길고 긴 전설적인 싸움에 끝을 맺는다! Unreal Engine 4로 개발되어, 유명 격투 게임 철권이 더욱 충실한 스토리와 영화같은 연출, 그리고 긴장감 넘치는 배틀로 친구나 다른 게이머들과 즐길 수 있는 게임으로 돌아옵니다.",2017년 6월 1일,"₩ 43,800","[파이터,액션,멀티플레이어,경쟁,아케이드]"
Dead by Daylight,"데드 바이 데이라이트는 한 명의 플레이어가 생존자를 고문하고 죽이려는 잔학한 살인마의 역할을 담당하고, 나머지 네 명의 플레이어는 살인마로부터 도망치려는 생존자로 플레이하는 (4vs1) 공포게임 입니다.",2016년 6월 14일,"₩ 21,000","[공포,생존 공포,멀티플레이어,온라인 협동,생존]"
데스티니 가디언즈,데스티니 가디언즈는 끝없이 진화하는 하나의 세계에서 플레이하는 액션 MMO입니다. 언제 어디서든 친구들과 함께 무료로 플레이하세요.,2019년 10월 1일,"₩ 97,500","[PvP,오픈 월드,PvE,약탈 슈팅,1인칭 슈팅]"
EA SPORTS™ FIFA 21,EA SPORTS™ FIFA 21과 함께 다시 돌아온 축구를 즐기며 더 다양한 방식으로 길거리 또는 경기장에서 팀을 구성하고 친구들과 함께 더 큰 승리를 달성하세요.,2020년 10월 8일,"₩ 66,000","[스포츠,축구,미식축구,PvP,경쟁]"
NieR Replicant™ ver.1.22474487139...,"『NieR Replicant ver.1.22474487139...』는 2010년 4월에 발매된 'NieR Replicant'를 기본으로 하여 버전업한 작품이며, 2017년 2월 발매된 'NieR:Automata'의 세계가 만들어지게 된 계기가 되는 이야기입니다.",2021년 4월 23일,"₩ 69,800","[웅장한 사운드트랙,풍부한 스토리,액션,롤플레잉,어드벤처]"
Monster Hunter World: Iceborne,관련 설명이 없습니다.,2020년 1월 9일,"₩ 46,500","[액션,멀티플레이어,오픈 월드,협동,사냥]"
Dying Light,"종말 이후 굶주린 좀비가 넘쳐나는 오픈 월드를 배경으로 펼쳐지는 1인칭 액션 생존 게임을 즐겨보세요. 여러분은 수수께끼의 바이러스 전염에 의해 몰락한 도시를 탐험하며 물자를 찾고, 무기를 제작하여 감염된 생명체 무리들을 상대해야 합니다.",2015년 1월 26일,"₩ 43,000","[좀비,생존 공포,공포,온라인 협동,오픈 월드]"
NieR:Automata™,"NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.",2017년 3월 17일,"₩ 44,800","[웅장한 사운드트랙,풍부한 스토리,여주인공,액션,핵 앤 슬래시]"
The Binding of Isaac: Repentance,관련 설명이 없습니다.,2021년 3월 31일,가격확인 불가,"[액션,어드벤처,롤플레잉,어려움,로그라이크]"
Forza Horizon 4,"세계 최고의 자동차 페스티벌에서 모든 것을 바꿀 새로운 시즌이 시작됩니다. 공유된 오픈 월드에서 혼자서 또는 다른 사람들과 팀을 이루어 아름답고 역사가 있는 브리튼 섬을 탐험하세요. 450가지가 넘는 자동차들을 수집, 개조 및 운전하세요. 레이스, 스턴트, 창조, 탐험 중 원하는 길을 골라 Horizon 슈퍼스타가 되세요.",2021년 3월 9일,"₩ 59,900","[레이싱,오픈 월드,멀티플레이어,운전,온라인 협동]"
War Thunder,"War Thunder는 제 2차 세계대전부터 현대전까지의 항공기, 전차, 함선, 헬리콥터를 플레이 할 수 있는 온라인 게임 역사상 가장 거대한 스케일과 광범위한 크로스 플랫폼 기능을 자랑하는 밀리터리 MMO 게임입니다. 지금 게임에 참여하셔서 War Thunder가 제공하는 지상, 공중, 해상의 거대한 전장 서사시에 직접 참여해보세요.",2013년 8월 15일,무료,"[무료,제2차 세계대전,멀티플레이어,시뮬레이션,전쟁]"
컨커러스 블레이드,"컨커러스 블레이드는 중세 시대를 배경으로 하는 3인칭 액션전략  온라인게임입니다. 게임 속에선 거대하고 장엄한 실제 전장을 연출합니다. 유저는 여러 종류의 부대, 공성병기를 지배하는 장군이 되어, 15vs15 영토전을 통해 적군의 성을 함락하고 쟁취함으로 정복의 성취를 느끼게 됩니다.",2020년 4월 5일,무료,"[전략,대규모 멀티플레이어,액션,롤플레잉,시뮬레이션]"
Football Manager 2021,"새롭게 추가되는 기능과 게임 업그레이드로 깊이와 드라마, 축구의 진정성을 전합니다. FM21에서 그 어느 때보다도 강력한 권한으로 감독 기량을 발전시키고 클럽을 성공으로 이끄세요.",2020년 11월 23일,"₩ 54,000","[스포츠,시뮬레이션,경영,싱글 플레이어,멀티플레이어]"
Little Nightmares,"Little Nightmares에서 당신이 어린 시절에 겪었던 공포들과 마주하게 될 공포스럽고도 기묘한 이야기를 경험하세요! 미쳐버린 영혼들이 다음 먹이를 찾아 헤매고 있는 목구멍이라는 이름의 거대하고 신비한 배에서, 여섯 개의 탈출을 도와주세요.",2017년 4월 27일,"₩ 25,800","[공포,분위기 있는,어드벤처,어두운,퍼즐 플랫폼 게임]"
ACE COMBAT™ 7: SKIES UNKNOWN,"에이스 파일럿이 되어 현실적인 하늘을 추구한 그래픽 공간을, 좋아하는 기체를 몰아 360도 자유롭게 날아다니는 상쾌감과, 자신의 상황 판단으로 적을 선택하여 격파하는 쾌감, 눈앞에 닥친 난국을 타파하는 달성감을 즐길 수 있는 플라이트 슈팅 게임입니다. 하늘에 입체적으로 수놓여 펼쳐지는 구름 속에서 매력적인 공중전을 즐기실 수 있습니다.",2019년 1월 31일,"₩ 54,800","[비행,제트,전쟁,군사,슈팅]"
Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",2016년 2월 26일,"₩ 16,000","[농업 시뮬레이션,생활 시뮬레이션,롤플레잉,픽셀 그래픽,농업]"
Fall Guys: Ultimate Knockout,Fall Guys는 한 명의 승자가 남을 때까지 계속되는 혼란스러운 60인 난투극 멀티플레이 파티 게임입니다!,2020년 8월 3일,"₩ 20,500","[멀티플레이어,유머,배틀 로얄,온라인 협동,전체 이용가]"
Euro Truck Simulator 2,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",2012년 10월 18일,"₩ 23,500","[시뮬레이션,운전,자동차 시뮬레이션,오픈 월드,현실적]"
Yakuza 6: The Song of Life,"Step into Japan's criminal underworld in this explosive action brawler starring legendary yakuza, Kazuma Kiryu, who is hellbent on unraveling the truth around his daughter's tragic accident.",2021년 3월 25일,"₩ 19,800","[액션,어드벤처,롤플레잉,비뎀업,액션 롤플레잉]"
eFootball PES 2021 SEASON UPDATE,■25주년 기념! 인기 축구 게임 시리즈를 최신 시즌으로 업데이트! 각종 특전이 가득한 특별 가격으로 등장!,2020년 9월 15일,"₩ 34,000","[스포츠,e스포츠,현실적,멀티플레이어,축구]"
Out of the Park Baseball 22,"Out of the Park Baseball 22는 전략/스포츠 게임 팬의 꿈을 현실로 이끕니다. MLB, MiLB 그리고 MLBPA에서 공식 라이선스를 받았으며 Metacritic PC Game of the Year 상을 두 번이나 수상한 유일한 게임입니다. OOTP 22, 22년의 특별함을 경험하세요! 최초로 한국어 적용 버전이 출시 예정입니다!",2021년 3월 26일,"₩ 41,000","[스포츠,카드 배틀,샌드박스,몰입형 시뮬레이션,야구]"
Rust,"The only aim in Rust is to survive - Overcome struggles such as hunger, thirst and cold. Build a fire. Build a shelter. Kill animals. Protect yourself from other players.",2018년 2월 8일,"₩ 106,000","[생존,크래프팅,멀티플레이어,오픈 월드,오픈 월드 생존 제작]"
ARK: Survival Evolved,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",2017년 8월 27일,"₩ 51,000","[오픈 월드 생존 제작,생존,오픈 월드,멀티플레이어,공룡]"
Half-Life: Alyx,"﻿Half-Life: Alyx는 Valve가 선보이는 Half-Life 시리즈의 새로운 VR 게임입니다. Half-Life와 Half-Life 2 사이에 일어난 일들을 배경으로, 콤바인이라 불리는 악랄한 외계인 종족과의 불가능한 싸움을 다룬 이야기입니다. 알릭스 밴스가 된 당신은 인류를 구할 수 있는 유일한 희망입니다.",2020년 3월 23일,"₩ 10,500","[VR,1인칭 슈팅,풍부한 스토리,공포,슈팅]"
Darkest Dungeon®,"Darkest Dungeon은 모험의 심리적 스트레스에 중점을 둔, 매력적인 고딕풍의 턴제 기반 RPG입니다. 미완성된 영웅의 팀을 고용, 훈련 그리고 리드하여 상상할 수 없는 공포, 스트레스, 기근, 질병 그리고 끊임없이 침식하는 암흑에 맞서세요. 모든 희망이 사라졌을 때 여러분의 영웅을 모두 지켜내세요!",2016년 1월 19일,"₩ 27,000","[턴제 전투,다크 판타지,던전 크롤러,롤플레잉,로그라이크]"
페르소나 5 스크램블 더 팬텀 스트라이커즈,반격의 시간이다! 마음의 괴도단이 되어 전국에 숨어있는 악과 맞서 싸워라. 동료들과 즐겁게 보낼 예정이었던 여름 방학이 왜곡된 현실과 함께 급변한다..... 진실을 파헤치고 사람들의 빼앗긴 마음을 되찾아라!,2021년 2월 22일,"₩ 69,800","[애니,어드벤처,웅장한 사운드트랙,핵 앤 슬래시,일본 롤플레잉]"
Sea of Thieves,"Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.",2020년 6월 3일,"₩ 39,400","[어드벤처,멀티플레이어,오픈 월드,해적,액션]"
Wallpaper Engine,바탕화면에서 멋진 라이브 배경화면을 사용하세요. 자신의 이미지를 애니메이션으로 만들어서 새 배경화면을 생성하거나 비디오/웹 사이트를 가져와서 Steam Workshop에서 공유하세요!,2018년 11월,"₩ 4,400","[성인,유틸리티,소프트웨어,애니,디자인과 일러스트레이션]"
The Forest,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.",2018년 4월 30일,"₩ 20,500","[오픈 월드 생존 제작,생존,오픈 월드,공포,크래프팅]"
A Dance of Fire and Ice,A Dance of Fire and Ice는 하나의 키로 간단하게 즐길 수 있는 엄격한 판정의 리듬 게임입니다. 서로 공전하는 두 행성의 완벽한 균형을 깨지 않도록 집중하세요.,2019년 1월 24일,"₩ 6,500","[리듬,인디,음악,어려움,웅장한 사운드트랙]"
Raft,"Raft throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!",2018년 5월 23일,"₩ 21,000","[생존,오픈 월드 생존 제작,멀티플레이어,협동,크래프팅]"
Red Dead Redemption 2,올해의 게임 175여 개를 수상하고 250개 이상의 완벽한 평가를 받은 Red Dead Redemption 2는 현대 시대가 시작될 무렵 무법자인 아서 모건과 악명 높은 반 더 린드 갱단이 미국 전역을 따라 도주하는 장대한 서사시입니다. 모두가 함께 즐길 수 있는 생생한 세계인 Red Dead 온라인 역시 포함됩니다.,2019년 12월 5일,"₩ 66,000","[오픈 월드,어드벤처,풍부한 스토리,웨스턴,액션]"
DJMAX RESPECT V,최고의 인기 리듬게임 “DJMAX” 드디어 STEAM 출시!! DJMAX 시리즈의 최신작 'DJMAX RESPECT'가 더 발전된 모습으로 Early Access를 통해 스팀에 첫 발을 내딛습니다.,2020년 3월 11일,"₩ 49,800","[캐주얼,리듬,액션,스포츠,음악]"
옥토패스 트래블러,"8명의 여행가, 8개의 모험, 8개의 역할. 광활한 Orsterra 세계로 여정을 떠나 여행가 8명 각각의 흥미진진한 이야기와 만나보십시오.",2019년 6월 7일,"₩ 59,800","[롤플레잉,일본 롤플레잉,턴제,픽셀 그래픽,풍부한 스토리]"
Sid Meier’s Civilization® VI,"문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요.",2016년 10월 20일,"₩ 65,000","[전략,턴제전략,역사,멀티플레이어,싱글 플레이어]"
Phasmophobia,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.,2020년 9월 18일,"₩ 14,500","[공포,온라인 협동,멀티플레이어,심리적 공포,협동]"
Total War: THREE KINGDOMS,"Total War: Three Kingdoms는 수많은 수상 경력에 빛나는 전략 게임, Total War 시리즈의 역사 배경 차기작입니다.",2019년 5월 23일,"₩ 59,800","[전략,역사,전쟁,턴제전략,대전략]"
Devil May Cry 5,"최강의 악마사냥꾼(데빌헌터)이 돌아왔다! 대망의 액션 게임, 전설의 스타일리시 액션 「Devil May Cry」가 드디어 부활!",2019년 3월 7일,"₩ 27,000","[액션,핵 앤 슬래시,웅장한 사운드트랙,캐릭터 액션 게임,악령]"
